speaker_id,native_language,file_id,audio_path,reference,hypothesis,wer,total_errors,substitutions,deletions,insertions,critical_errors,high_impact_errors,medium_impact_errors,accent_features,error_details
ABA,Arabic,arctic_a0001,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0001.wav,Author of the danger trail Philip Steels etc,Author of the dinger trial flip steels extra.,0.5,4,4,0,0,0,0,0,4,🟢 LOW: 'danger' → 'dinger' (Likely accent variation: 'danger' → 'dinger' (understandable)) | 🟢 LOW: 'trail' → 'trial' (Likely accent variation: 'trail' → 'trial' (understandable)) | 🟢 LOW: 'philip' → 'flip' (Likely accent variation: 'philip' → 'flip' (understandable)) | 🟢 LOW: 'etc' → 'extra' (Likely accent variation: 'etc' → 'extra' (understandable))
ABA,Arabic,arctic_a0002,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0002.wav,Not at this particular case Tom apologized Whittemore,"Not at this particular case, Tom ablugized with more.",0.25,2,2,0,0,0,0,0,2,🟢 LOW: 'apologized' → 'ablugized' (Likely accent variation: 'apologized' → 'ablugized' (understandable)) | 🟢 LOW: 'whittemore' → 'with' (Likely accent variation: 'whittemore' → 'with' (understandable))
ABA,Arabic,arctic_a0003,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,0.09090909090909091,1,1,0,0,0,0,0,1,🟢 LOW: 'twentieth' → '20th' (Likely accent variation: 'twentieth' → '20th' (understandable))
ABA,Arabic,arctic_a0004,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0004.wav,Lord but I'm glad to see you again Phil,"Lord, but I am glad to see you again, Phil.",0.1111111111111111,1,1,0,0,1,0,1,0,🟡 MED: 'i'm' → 'i' (Incomplete word: 'i'm' → 'i' (missing ending))
ABA,Arabic,arctic_a0005,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0005.wav,Will we ever forget it,Will we ever forget it?,0.0,0,0,0,0,0,0,0,0,No errors
ABA,Arabic,arctic_a0006,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever,"God bless them, I hope I will go on seeing them forever.",0.18181818181818182,2,2,0,0,2,0,2,0,🟡 MED: 'em' → 'them' (Non-standard prefix: 'em' → 'them') | 🟡 MED: 'i'll' → 'i' (Incomplete word: 'i'll' → 'i' (missing ending))
ABA,Arabic,arctic_a0007,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0007.wav,And you always want to see it in the superlative degree,and you always want to see it in the superlative degree.,0.0,0,0,0,0,0,0,0,0,No errors
ABA,Arabic,arctic_a0008,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0008.wav,Gad your letter came just in time,"God, your litter came just in time.",0.2857142857142857,2,2,0,0,0,0,0,2,🟢 LOW: 'gad' → 'god' (Likely accent variation: 'gad' → 'god' (understandable)) | 🟢 LOW: 'letter' → 'litter' (Likely accent variation: 'letter' → 'litter' (understandable))
ABA,Arabic,arctic_a0009,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0009.wav,He turned sharply and faced Gregson across the table,He turned sharply and faced Gregson across the table.,0.0,0,0,0,0,0,0,0,0,No errors
ABA,Arabic,arctic_a0010,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0010.wav,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,0.08333333333333333,1,1,0,0,1,0,1,0,🟡 MED: 'i'm' → 'i' (Incomplete word: 'i'm' → 'i' (missing ending))
ABA,Arabic,arctic_a0011,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now,"If I ever needed a fighter in my life, I need one now.",0.0,0,0,0,0,0,0,0,0,No errors
ABA,Arabic,arctic_a0012,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0012.wav,Gregson shoved back his chair and rose to his feet,Kriksson shoved back his chair and rose to his feet.,0.1,1,1,0,0,0,0,0,1,🟢 LOW: 'gregson' → 'kriksson' (Likely accent variation: 'gregson' → 'kriksson' (understandable))
ABA,Arabic,arctic_a0013,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique,he was a head shorter than his companion of almost delicate physique.,0.0,0,0,0,0,0,0,0,0,No errors
ABA,Arabic,arctic_a0014,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0014.wav,Now you're coming down to business Phil he exclaimed,"Now, you're coming down to business, Philly, hey, exe-cli-empt.",0.3333333333333333,3,3,0,0,0,0,0,3,🟢 LOW: 'phil' → 'philly' (Likely accent variation: 'phil' → 'philly' (understandable)) | 🟢 LOW: 'he' → 'hey' (Likely accent variation: 'he' → 'hey' (understandable)) | 🟢 LOW: 'exclaimed' → 'exe' (Likely accent variation: 'exclaimed' → 'exe' (understandable))
ABA,Arabic,arctic_a0015,/Users/camilomartinez/github/pronunciation-error-detection/l2arctic_release_v5/ABA/wav/arctic_a0015.wav,It's the aurora borealis,It is the Aurora Prolius.,0.5,2,2,0,0,1,0,1,1,🟡 MED: 'it's' → 'it' (Incomplete word: 'it's' → 'it' (missing ending)) | 🟢 LOW: 'borealis' → 'prolius' (Likely accent variation: 'borealis' → 'prolius' (understandable))
