speaker_id,native_language,error_type,reference_word,hypothesis_word,position
arabic_01,Arabic,substitution,weather,weazer,1
arabic_01,Arabic,substitution,very,wery,3
spanish_01,Spanish,substitution,finish,feenish,3
chinese_01,Mandarin,substitution,restaurant,lestaurant,1
chinese_01,Mandarin,substitution,very,vely,3
korean_01,Korean,substitution,repeat,lepeat,1
hindi_01,Hindi,substitution,visit,wisit,2
arabic_02,Arabic,substitution,with,wis,4
arabic_02,Arabic,substitution,this,zis,5
arabic_02,Arabic,substitution,problem,broblem,6
spanish_02,Spanish,substitution,table,tebol,5
chinese_02,Mandarin,substitution,really,leally,1
chinese_02,Mandarin,substitution,cream,cleam,5
korean_02,Korean,substitution,flight,plight,1
hindi_02,Hindi,substitution,pharmacy,parmacy,4
french_01,French,substitution,the,ze,0
german_01,German,substitution,think,sink,1
german_01,German,substitution,this,zis,2
japanese_01,Japanese,substitution,seven,seben,4
russian_01,Russian,substitution,this,zis,0
russian_01,Russian,substitution,very,verry,3
russian_01,Russian,substitution,question,kvestion,5
vietnamese_01,Vietnamese,substitution,english,englih,4
